"Date","home.team","away.team","home.score","away.score"
2018-12-16,"Espanol","Betis",10,12
2018-12-16,"Huesca","Villarreal",30,10
2018-12-16,"Levante","Barcelona",20,16
2018-12-16,"Sevilla","Girona",17,8
2018-12-17,"Alaves","Ath Bilbao",11,6
2018-12-21,"Girona","Getafe",12,5
2018-12-21,"Sociedad","Alaves",18,9
2018-12-22,"Ath Bilbao","Valladolid",8,5
2018-12-22,"Ath Madrid","Espanol",8,18
2018-12-22,"Barcelona","Celta",9,11
2018-12-22,"Betis","Eibar",4,15
2018-12-23,"Leganes","Sevilla",13,8
2018-12-23,"Valencia","Huesca",19,11
2018-12-23,"Vallecano","Levante",18,12
2019-01-03,"Villarreal","Real Madrid",12,14
2019-01-04,"Espanol","Leganes",12,10
2019-01-04,"Levante","Girona",19,9
2019-01-05,"Alaves","Valencia",14,14
2019-01-05,"Huesca","Betis",11,7
2019-01-05,"Valladolid","Vallecano",12,9
2019-01-06,"Eibar","Villarreal",24,7
2019-01-06,"Getafe","Barcelona",10,12
2019-01-06,"Real Madrid","Sociedad",28,12
2019-01-06,"Sevilla","Ath Madrid",15,12
2019-01-07,"Celta","Ath Bilbao",17,8
2019-01-11,"Vallecano","Celta",11,13
2019-01-12,"Girona","Alaves",9,15
2019-01-12,"Leganes","Huesca",14,9
2019-01-12,"Valencia","Valladolid",17,6
2019-01-12,"Villarreal","Getafe",17,9
2019-01-13,"Ath Bilbao","Sevilla",10,10
2019-01-13,"Ath Madrid","Levante",19,7
2019-01-13,"Barcelona","Eibar",7,15
2019-01-13,"Betis","Real Madrid",9,14
2019-01-14,"Sociedad","Espanol",9,21
2019-01-18,"Getafe","Alaves",12,6
2019-01-19,"Celta","Valencia",12,13
2019-01-19,"Huesca","Ath Madrid",14,15
2019-01-19,"Real Madrid","Sevilla",23,4
2019-01-20,"Barcelona","Leganes",15,5
2019-01-20,"Betis","Girona",12,8
2019-01-20,"Levante","Valladolid",13,13
2019-01-20,"Vallecano","Sociedad",11,10
2019-01-20,"Villarreal","Ath Bilbao",3,9
2019-01-21,"Eibar","Espanol",16,6
2019-01-26,"Ath Madrid","Getafe",10,6
2019-01-26,"Leganes","Eibar",9,5
2019-01-26,"Sevilla","Levante",23,7
2019-01-26,"Valencia","Villarreal",18,14
2019-01-27,"Ath Bilbao","Betis",11,8
2019-01-27,"Espanol","Real Madrid",13,16
2019-01-27,"Girona","Barcelona",13,15
2019-01-27,"Sociedad","Huesca",8,8
2019-01-27,"Valladolid","Celta",19,8
2019-01-28,"Alaves","Vallecano",16,14
2019-02-01,"Huesca","Valladolid",11,9
2019-02-02,"Barcelona","Valencia",20,14
2019-02-02,"Celta","Sevilla",10,13
2019-02-02,"Levante","Getafe",8,9
2019-02-02,"Sociedad","Ath Bilbao",6,8
2019-02-03,"Betis","Ath Madrid",7,13
2019-02-03,"Eibar","Girona",17,6
2019-02-03,"Real Madrid","Alaves",22,8
